Expected matrix,
Financial District/South Beach,0.0000,0.0000,0.0000,0.0000,0.1887,0.0000,0.0000,0.5283,0.0000,1.1321,0.0000,0.0000,0.0000,0.1509,0.0000,0.0000,0.0000,0.0000,0.0000
South of Market,0.0000,0.0000,0.0000,0.0000,2.4528,0.0000,0.0000,6.8679,0.0000,14.7170,0.0000,0.0000,0.0000,1.9623,0.0000,0.0000,0.0000,0.0000,0.0000
Tenderloin,0.0000,0.0000,0.0000,0.0000,2.3585,0.0000,0.0000,6.6038,0.0000,14.1509,0.0000,0.0000,0.0000,1.8868,0.0000,0.0000,0.0000,0.0000,0.0000
chi,0.0000,df,-2,pVal,1.0000
