Expected matrix,
Financial District/South Beach,0.0000,0.0000,0.0000,0.0000,0.0889,0.0000,0.0000,1.0667,0.0000,0.5524,0.0063,0.0000,0.0000,0.2857,0.0000,0.0000,0.0000,0.0000,0.0000
Haight Ashbury,0.0000,0.0000,0.0000,0.0000,6.5333,0.0000,0.0000,78.4000,0.0000,40.6000,0.4667,0.0000,0.0000,21.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Hayes Valley,0.0000,0.0000,0.0000,0.0000,2.8889,0.0000,0.0000,34.6667,0.0000,17.9524,0.2063,0.0000,0.0000,9.2857,0.0000,0.0000,0.0000,0.0000,0.0000
South of Market,0.0000,0.0000,0.0000,0.0000,1.1556,0.0000,0.0000,13.8667,0.0000,7.1810,0.0825,0.0000,0.0000,3.7143,0.0000,0.0000,0.0000,0.0000,0.0000
Tenderloin,0.0000,0.0000,0.0000,0.0000,1.1111,0.0000,0.0000,13.3333,0.0000,6.9048,0.0794,0.0000,0.0000,3.5714,0.0000,0.0000,0.0000,0.0000,0.0000
Western Addition,0.0000,0.0000,0.0000,0.0000,2.2222,0.0000,0.0000,26.6667,0.0000,13.8095,0.1587,0.0000,0.0000,7.1429,0.0000,0.0000,0.0000,0.0000,0.0000
chi,0.0000,df,-5,pVal,1.0000
