Expected matrix,
Inner Richmond,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3142,0.0000,0.0000,48.9292,0.7566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Lone Mountain/USF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1062,0.0000,0.0000,27.4690,0.4248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Outer Richmond,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5796,0.0000,0.0000,117.6018,1.8186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Inner Richmond,ELLIS_ACT_WITHDRAWAL,0.5255
Lone Mountain/USF,ELLIS_ACT_WITHDRAWAL,0.4381
Outer Richmond,ELLIS_ACT_WITHDRAWAL,0.0218
chi,0.9854,df,2,pVal,0.6110
