Expected matrix,
Financial District/South Beach,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3371,0.0000,0.0000,4.6286,0.0343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nob Hill,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.9657,0.0000,0.0000,93.3429,0.6914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
North Beach,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.2914,0.0000,0.0000,84.0857,0.6229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
South of Market,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.5086,0.0000,0.0000,77.9143,0.5771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tenderloin,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8971,0.0000,0.0000,10.0286,0.0743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
chi,0.0000,df,-4,pVal,1.0000
