Expected matrix,
Financial District/South Beach,7.0653,42.0320,46.0372,3.7802,0.0000,0.0000,1.5751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5102,0.0000,0.0000,0.0000
Mission Bay,0.8152,4.8498,5.3120,0.4362,0.0000,0.0000,0.1817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4050,0.0000,0.0000,0.0000
Nob Hill,29.3483,174.5945,191.2315,15.7023,0.0000,0.0000,6.5426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5807,0.0000,0.0000,0.0000
North Beach,15.4894,92.1471,100.9277,8.2873,0.0000,0.0000,3.4531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6954,0.0000,0.0000,0.0000
South of Market,32.1337,191.1649,209.3808,17.1926,0.0000,0.0000,7.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9645,0.0000,0.0000,0.0000
Tenderloin,72.1480,429.2116,470.1108,38.6015,0.0000,0.0000,16.0839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.8442,0.0000,0.0000,0.0000
3,NUISANCE,10.7427
6,NUISANCE,16.8073
chi,39.0876,df,0,pVal,1.0000
