Expected matrix,
Haight Ashbury,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2857,0.0000,0.0000,56.1224,3.5918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Hayes Valley,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2381,0.0000,0.0000,46.7687,2.9932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Western Addition,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4762,0.0000,0.0000,22.1088,1.4150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Haight Ashbury,ELLIS_ACT_WITHDRAWAL,0.0628
Hayes Valley,ELLIS_ACT_WITHDRAWAL,0.4862
Western Addition,ELLIS_ACT_WITHDRAWAL,0.3781
chi,0.9271,df,4,pVal,0.9206
