Expected matrix,
Glen Park,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2069,0.0000,0.0000,12.9655,0.8276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Noe Valley,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1034,0.0000,0.0000,53.4828,3.4138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Twin Peaks,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6897,0.0000,0.0000,27.5517,1.7586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Glen Park,ELLIS_ACT_WITHDRAWAL,0.2980
Noe Valley,ELLIS_ACT_WITHDRAWAL,0.1153
Twin Peaks,ELLIS_ACT_WITHDRAWAL,0.7182
chi,1.1314,df,4,pVal,0.8893
