Expected matrix,
Financial District/South Beach,0.0000,0.0000,0.0000,0.0000,0.1311,0.0000,0.0000,0.9290,0.0000,0.7978,0.0000,0.0000,0.0000,0.1421,0.0000,0.0000,0.0000,0.0000,0.0000
Mission Bay,0.0000,0.0000,0.0000,0.0000,0.1311,0.0000,0.0000,0.9290,0.0000,0.7978,0.0000,0.0000,0.0000,0.1421,0.0000,0.0000,0.0000,0.0000,0.0000
Nob Hill,0.0000,0.0000,0.0000,0.0000,4.9180,0.0000,0.0000,34.8361,0.0000,29.9180,0.0000,0.0000,0.0000,5.3279,0.0000,0.0000,0.0000,0.0000,0.0000
North Beach,0.0000,0.0000,0.0000,0.0000,3.4754,0.0000,0.0000,24.6175,0.0000,21.1421,0.0000,0.0000,0.0000,3.7650,0.0000,0.0000,0.0000,0.0000,0.0000
South of Market,0.0000,0.0000,0.0000,0.0000,1.7049,0.0000,0.0000,12.0765,0.0000,10.3716,0.0000,0.0000,0.0000,1.8470,0.0000,0.0000,0.0000,0.0000,0.0000
Tenderloin,0.0000,0.0000,0.0000,0.0000,1.6393,0.0000,0.0000,11.6120,0.0000,9.9727,0.0000,0.0000,0.0000,1.7760,0.0000,0.0000,0.0000,0.0000,0.0000
chi,0.0000,df,-5,pVal,1.0000
