Expected matrix,
Financial District/South Beach,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0449,0.0000,0.0000,3.7528,0.2022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Haight Ashbury,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.4944,0.0000,0.0000,41.2809,2.2247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Hayes Valley,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.7453,0.0000,0.0000,34.4007,1.8539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
South of Market,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.4232,0.0000,0.0000,63.1723,3.4045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tenderloin,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4307,0.0000,0.0000,8.1311,0.4382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Western Addition,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8614,0.0000,0.0000,16.2622,0.8764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
chi,0.0000,df,-5,pVal,1.0000
