Expected matrix,
Financial District/South Beach,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8182,0.0000,0.0000,2.1322,0.0496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mission Bay,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6364,0.0000,0.0000,0.3554,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
South of Market,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.2727,0.0000,0.0000,35.8926,0.8347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tenderloin,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2727,0.0000,0.0000,4.6198,0.1074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
chi,0.0000,df,3,pVal,1.0000
