Expected matrix,
Excelsior,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.5942,0.0000,0.0000,20.4058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Oceanview/Merced/Ingleside,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.6522,0.0000,0.0000,14.3478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Outer Mission,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7536,0.0000,0.0000,9.2464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Excelsior,DEMOLITION,0.2963
Excelsior,ELLIS_ACT_WITHDRAWAL,0.6331
Oceanview/Merced/Ingleside,DEMOLITION,0.0139
Oceanview/Merced/Ingleside,ELLIS_ACT_WITHDRAWAL,0.0296
Outer Mission,DEMOLITION,0.9128
Outer Mission,ELLIS_ACT_WITHDRAWAL,1.9501
chi,3.8359,df,2,pVal,0.1469
