Expected matrix,
Glen Park,0.0000,0.0000,0.0000,0.0000,0.3874,0.0000,0.0000,28.0890,0.0000,4.4555,0.0000,0.0000,0.0000,4.0681,0.0000,0.0000,0.0000,0.0000,0.0000
Noe Valley,0.0000,0.0000,0.0000,0.0000,1.2565,0.0000,0.0000,91.0995,0.0000,14.4503,0.0000,0.0000,0.0000,13.1937,0.0000,0.0000,0.0000,0.0000,0.0000
Twin Peaks,0.0000,0.0000,0.0000,0.0000,0.3560,0.0000,0.0000,25.8115,0.0000,4.0942,0.0000,0.0000,0.0000,3.7382,0.0000,0.0000,0.0000,0.0000,0.0000
Glen Park,OWNER_MOVE_IN,0.1300
Noe Valley,OWNER_MOVE_IN,0.0924
Twin Peaks,OWNER_MOVE_IN,0.8969
chi,1.1193,df,0,pVal,1.0000
